vehicle_id,Hired Status
SHB5198A,Hired
SHB5201Z,Hired
SHB5202X,Hired
SHB5203T,Hired
SHB5205M,Hired
SHB5206K,Hired
SHB5207H,Hired
SHB5210Y,Hired
SHB5213P,Hired
SHB5217D,Hired
SHB5218B,Hired
SHB5220T,Hired
SHB5223K,Hired
SHB5229U,Hired
SHB5230P,Hired
SHB5233G,Hired
SHB5235B,Hired
SHB5237X,Hired
SHB5239R,Hired
SHB523C,Hired
SHB5242E,Hired
SHB5244A,Hired
SHB5246U,Hired
SHB5248P,Hired
SHB524A,Hired
SHB5250G,Hired
SHB5251D,Hired
SHB5253Z,Hired
SHB5259H,Hired
SHB5261A,Hired
SHB5267J,Hired
SHB526U,Hired
SHB5272T,Hired
SHB5276H,Hired
SHB527S,Hired
SHB5282P,Hired
SHB5284J,Hired
SHB5285G,Hired
SHB5286D,Hired
SHB5289X,Hired
SHB5292K,Hired
SHB5294E,Hired
SHB5296A,Hired
SHB5301T,Hired
SHB5303M,Hired
SHB5304K,Hired
SHB5306E,Hired
SHB5308A,Hired
SHB5309Y,Hired
SHB5310S,Hired
SHB5311P,Hired
SHB5314G,Hired
SHB5315D,Hired
SHB5318X,Hired
SHB531D,Hired
SHB5320M,Hired
SHB5322H,Hired
SHB5323E,Hired
SHB5324C,Hired
SHB5326Y,Hired
SHB5327U,Hired
SHB5329P,Hired
SHB5332D,Hired
SHB5334Z,Hired
SHB5335X,Hired
SHB5336T,Hired
SHB5339K,Hired
SHB5344U,Hired
SHB5347L,Hired
SHB5349G,Hired
SHB5351Z,Hired
SHB5360Y,Hired
SHB5362S,Hired
SHB5364L,Hired
SHB5365J,Hired
SHB5369Z,Hired
SHB5372M,Hired
SHB5373K,Hired
SHB5377A,Hired
SHB5379U,Hired
SHB5380P,Hired
SHB5381L,Hired
SHB5383G,Hired
SHB5386Z,Hired
SHB5388T,Hired
SHB5389R,Hired
SHB5393C,Hired
SHB5395Y,Hired
SHB5397S,Hired
SHB5399L,Hired
SHB5400R,Hired
SHB5402K,Hired
SHB5406A,Hired
SHB5407Y,Hired
SHB5408U,Hired
SHB5412G,Hired
SHB5413D,Hired
SHB5414B,Hired
SHB5417T,Hired
SHB5420H,Hired
SHB5422C,Hired
SHB5424Y,Hired
SHB5425U,Hired
SHB542Y,Hired
SHB5434T,Hired
SHB5445L,Hired
SHB5448D,Hired
SHB5452R,Hired
SHB5455H,Hired
SHB5457C,Hired
SHB5458A,Hired
SHB5465D,Hired
SHB5469T,Hired
SHB5470M,Hired
SHB5472H,Hired
SHB547J,Hired
SHB5480J,Hired
SHB5487R,Hired
SHB5488M,Hired
SHB5490E,Hired
SHB5492A,Hired
SHB5498J,Hired
SHB5501H,Hired
SHB5503C,Hired
SHB5506U,Hired
SHB5507S,Hired
SHB5508P,Hired
SHB5515T,Hired
SHB5516R,Hired
SHB5526L,Hired
SHB5529D,Hired
SHB5530Z,Hired
